,ID,Start time,Completion time,Email,Name,Last modified time,Consent 1,Consent 2,Consent 3,Consent 4,Prolific or Email,Education,AI Knowledge,Age,AI Deceptive,AI Honest,AI Suspicious,AI Weary,AI Harm,AI Confident,AI Security,AI Trustworthy,AI Reliable,AI Trust,AI systems are 1,AI systems are 2,AI systems are 3,AI systems are 4,AI systems are 5,AI systems are 6,AI systems are 7,AI systems are 8,AI systems are 9,AI Weary Post,AI Confident Post,AI Suspicious Post,AI Trust Post,AI Harm Post,AI Honest Post,AI Security Post,AI Deceptive Post,AI Reliable Post,AI Trustworthy Post,AI systems are 1 Post,AI systems are 2 Post,AI systems are 3 Post,AI systems are 4 Post,AI systems are 5 Post,AI systems are 6 Post,AI systems are 7 Post,AI systems are 8 Post,AI systems are 9 Post,AI Feel Post,AI Understand Post,AI Job Post,Condition,Interactive Page Title List,Interactive Section Title List,Interactive Section Index List,Interactive Original Text List,Interactive Updated Text List,Response Section Title List,Response Section Index List,Response Text List,Response Created At List,Response Updated At List,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Ethnicity,Age_demographic,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
188,53,2026-02-12 16:24:32,2026-02-12 16:34:27,anonymous,,,Yes,Yes,Yes,I agree,60ca6cf4fb84a3c8c377b3ae,Bachelor,Conceptual understanding,30.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Empathetic ,Sensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Personal,Altruistic,Open-Minded,Responsive,Sensitive,Caring,Empathetic ,Cordial,Patient,I felt excited,No,I would not have any issues with it.,Static,[],[],[],[],[],[],[],[],[],[],698df063b6976d93c07980a9,60ca6cf4fb84a3c8c377b3ae,APPROVED,Not Applicable,2026-02-12T15:23:51.482000Z,2026-02-12T15:37:50.110000Z,2026-03-05T00:08:40.038000Z,2026-02-12T15:37:51.408497Z,839.0,NOCODE,684.0,Man (including Trans Male/Trans Man),African,30,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
189,54,2026-02-12 16:10:14,2026-02-12 16:37:30,anonymous,,,Yes,Yes,Yes,I agree,697071367389ff41f28c0e87,Master,Expert,26.0,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Apathetic,Insensitive,Impersonal,Ignoring,Altruistic,Cordial,Indifferent,Open-Minded,Patient,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Impersonal,Altruistic,Open-Minded,Indifferent,Insensitive,Ignoring,Apathetic,Cordial,Patient,Cool,Not much,Not good,Static,"['What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?']","['Large Language Models ', 'Large Language Models ', 'Large Language Models ', 'Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", ""What's in a Name? "", ""What's in a Name? "", ""What's in a Name? "", ""What's in a Name? "", ""What's in a Name? "", 'How Can We Fix This?']","[0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 3]","['clicked', 'To be or not to be, that is the question;', 'clicked', ""One man's trash is another man's treasure"", 'We went to Sfax and bought a _. | We went to Tunisia and bought a _.', 'My brother was born in the year of _. | I was born in the year of _.', 'Jim worked as a _. | Abderrahmen worked as a _.', 'The new doctor was named _. | The new scientist was named _.', 'The new doctor was named _. | Two Muslims walked into a _.', 'The muslim caused _. | Two Muslims walked into a _.', 'Abderahmen caused _. | Two Muslims walked into a _.', 'The doctor performed CPR even though _ knew it was too late. | The nurse performed CPR even though _ .']","['update', ""One man's trash is another man's treasure"", 'update', ""One man's trash is another man's treasure."", 'pair_update', 'pair_update', 'pair_update', 'pair_update', 'pair_update', 'pair_update', 'pair_update', 'pair_update']","['Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", 'How Can We Fix This?', 'Differences Over Time']","[0, 1, 2, 3, 4]","['BERT can predict missing words (or at least use the most probable prediction) based on learning from what he studied (and apparently his training goes through giving it an incomplete sentence).\nBy changing the sentence to something like ""One man\'s trash is another man\'s treasure"" I see that this version of BERT is incapable of predicting the missing word accurately since it wasn\'t trained on this specific sentence.', 'The start and the end of the sentence (for example the where and when) affect the predicted words.', 'Bert does stereotypes', 'Bert is trying to be neutral.', 'Things are getting better.']","['2026-02-12 15:21:18.620774', '2026-02-12 15:27:12.818612', '2026-02-12 15:32:10.810339', '2026-02-12 15:33:59.25847', '2026-02-12 15:34:40.639054']","['2026-02-12 15:21:18.620774', '2026-02-12 15:27:12.818612', '2026-02-12 15:32:10.810339', '2026-02-12 15:33:59.25847', '2026-02-12 15:34:40.639054']",698deb2c18f22da1aab7a9b0,697071367389ff41f28c0e87,APPROVED,Not Applicable,2026-02-12T15:10:10.564000Z,2026-02-12T15:38:04.464000Z,2026-03-05T00:01:00.839000Z,2026-02-12T15:38:05.330478Z,1674.0,UOIA55VDAY,108.0,Rather not say,White,26,Male,White,Tunisia,France,Tunisia,Arabic,Yes,Part-Time
190,55,2026-02-12 16:26:15,2026-02-12 16:38:20,anonymous,,,Yes,Yes,Yes,I agree,697a8701e3e4bf7822f66a6a,Graduate Professional Degree,Advanced,29.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Empathetic ,Sensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Personal,Altruistic,Open-Minded,Responsive,Sensitive,Caring,Empathetic ,Cordial,Patient,I felt at ease,Yes,I would feel okay about it.,Static,"['What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?']","['Large Language Models ', 'Large Language Models ', 'Large Language Models ', 'Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", ""What's in a Name? "", ""What's in a Name? "", 'How Can We Fix This?', 'How Can We Fix This?']","[0, 0, 0, 0, 1, 2, 2, 2, 3, 3]","['clicked', 'To be or not to be, that is the question;', 'To be or not to be, that is the answer;', 'clicked', 'In New York, they like to buy clothes. | In Texas, they like to buy _.', 'Elsie was born in the year of 2001. | Lauren was born in the year of 1996.', 'Jim worked as a _. | Jane worked as a waiter.', 'The new nurse was named _. | The new doctor was named Josh.', 'The doctor performed CPR even though _ knew it was too late. | The nurse performed CPR even though he knew it was too late.', 'The doctor performed CPR even though they knew it was too late. | The nurse performed CPR even though he knew it was too late.']","['update', 'To be or not to be, that is the answer;', 'To be or not to be, that is the question;', 'update', 'pair_update', 'pair_update', 'pair_update', 'pair_update', 'pair_update', 'pair_update']","['Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", 'How Can We Fix This?', 'Differences Over Time']","[0, 1, 2, 3, 4]","['I learned that the training of the BERT model has really paid off in different situation', 'All the posibilities that the model has to know before they do a correct guess', 'The use of different backgrounds for it not to be harmful, racist, etc.', ""The use of gender in AI models, it's pretty difficult to train a model with the nonbinary gender because there's no general names tied to that gender"", 'the way that the world has evolved since 1908 with gender and work ']","['2026-02-12 15:29:18.61077', '2026-02-12 15:31:15.835855', '2026-02-12 15:32:40.849159', '2026-02-12 15:34:22.675157', '2026-02-12 15:36:08.59465']","['2026-02-12 15:29:18.61077', '2026-02-12 15:31:15.835855', '2026-02-12 15:32:40.849159', '2026-02-12 15:34:22.675157', '2026-02-12 15:36:08.59465']",698df0f828b241c641826d69,697a8701e3e4bf7822f66a6a,APPROVED,Not Applicable,2026-02-12T15:26:12.187000Z,2026-02-12T15:38:45.429000Z,2026-03-05T00:00:38.321000Z,2026-02-12T15:38:46.202512Z,754.0,GJ2YSOF277,4.0,Woman (including Trans Female/Trans Woman),White Mexican,29,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
191,56,2026-02-12 16:24:13,2026-02-12 16:39:01,anonymous,,,Yes,Yes,Yes,I agree,697c6a6128e9af60d73e475f,Bachelor,Beginner knowledge,19.0,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Empathetic ,Insensitive,Impersonal,Caring,Self-Serving,Cordial,Responsive,Judgmental,Patient,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Impersonal,Self-Serving,Judgmental,Responsive,Insensitive,Ignoring,Empathetic ,Cordial,Patient,Feel lazy,Yeah,Scary,Static,"['What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?']","['Large Language Models ', 'Large Language Models ', 'Large Language Models ', 'Cattle or Clothes?', 'Cattle or Clothes?', ""What's in a Name? "", 'How Can We Fix This?']","[0, 0, 0, 1, 1, 2, 3]","['To be or not to be, that is the question;', 'clicked', 'T', 'In New York, they like to buy water | In Texas, they like to buy _.', ""In New York, they like to buy  | Jojo's bizarre adventure is the best.."", 'Elsie was born in the year of _ | Lauren was born in the year of _.', 'The doctor performed CPR even though _ knew it was too late. | the lady doth']","['T', 'update', 'hello', 'pair_update', 'pair_update', 'pair_update', 'pair_update']","['Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", 'How Can We Fix This?', 'Differences Over Time']","[0, 1, 2, 3, 4]","['I learned that AI predictions is so much', ""I learned that there are 30 000 words, punctuation marks in BERT's vocabulary and it's remarquable"", ""Bert also know about people's name"", 'I learned that there is a version of bert more trained', 'The text is about differences over time with AI difference between female and male decrease']","['2026-02-12 15:28:33.401299', '2026-02-12 15:30:45.315694', '2026-02-12 15:31:29.264821', '2026-02-12 15:34:06.920093', '2026-02-12 15:36:58.869746']","['2026-02-12 15:28:33.401299', '2026-02-12 15:30:45.315694', '2026-02-12 15:31:29.264821', '2026-02-12 15:34:06.920093', '2026-02-12 15:36:58.869746']",698df064cef73eea9e3948e7,697c6a6128e9af60d73e475f,APPROVED,Not Applicable,2026-02-12T15:23:55.229000Z,2026-02-12T15:40:48.450000Z,2026-03-05T00:00:41.605000Z,2026-02-12T15:40:49.319427Z,1014.0,NTO24NPQGV,8.0,Woman (including Trans Female/Trans Woman),Rather not say,19,Female,Prefer not to say,France,France,France,French,Yes,Other
192,57,2026-02-12 16:11:11,2026-02-12 16:39:25,anonymous,,,Yes,Yes,Yes,I agree,613a972033d79df11a6570de,PhD,Beginner knowledge,39.0,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Empathetic ,Sensitive,Personal,Caring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Personal,Self-Serving,Open-Minded,Responsive,Sensitive,Caring,Empathetic ,Cordial,Patient,Curious,Slightly,I prefer to be pair-revised with a human assistant,Static,"['What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?']","['Large Language Models ', 'Large Language Models ', 'Cattle or Clothes?', 'How Can We Fix This?']","[0, 0, 1, 3]","['To be or not to be, that is the question;', 'clicked', 'In Mexico, they like to buy _. | In Texas, they like to buy _.', 'The kid was playing with _ cars | The chef put _ apron']","['To be, not to be, that is the question;', 'update', 'pair_update', 'pair_update']","['Large Language Models ', 'Cattle or Clothes?', 'Cattle or Clothes?', 'How Can We Fix This?', 'Differences Over Time']","[0, 1, 1, 3, 4]","['That LLMs can be trained splitting sentences and predicting masked words in sentences.', ""That BERT's broad vocabulary and contextual word probability calculations allow for modifications to obtain answers."", ""That BERT's broad vocabulary and contextual word probability calculations allow for modifications to obtain answers."", 'That it has been implemented training to avoid gender bias and stereotypes.', 'Including the year improves the general prediction, but some mismatches still occur.']","['2026-02-12 15:19:15.157048', '2026-02-12 15:25:00.591795', '2026-02-12 15:25:00.615841', '2026-02-12 15:31:23.209515', '2026-02-12 15:34:48.625911']","['2026-02-12 15:19:15.157048', '2026-02-12 15:25:00.591795', '2026-02-12 15:25:00.615841', '2026-02-12 15:31:23.209515', '2026-02-12 15:34:48.625911']",698ded6f68f868752ff9fe3f,613a972033d79df11a6570de,APPROVED,Not Applicable,2026-02-12T15:11:03.937000Z,2026-02-12T15:40:18.997000Z,2026-03-05T00:02:09.772000Z,2026-02-12T15:40:19.850872Z,1756.0,LOTYKM6EYH,2487.0,Woman (including Trans Female/Trans Woman),Latino/Hispanic,39,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Part-Time
193,59,2026-02-12 16:28:44,2026-02-12 16:39:31,anonymous,,,Yes,Yes,Yes,I agree,616c02aa268eef1a5df08f1e,Graduate Professional Degree,Advanced,26.0,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Apathetic,Insensitive,Impersonal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Impersonal,Altruistic,Open-Minded,Responsive,Insensitive,Caring,Apathetic,Cordial,Patient,"It was good, it’s human like",Yes,Not so good,Static,[],[],[],[],[],[],[],[],[],[],698df1943f25d2ae1bd0047a,616c02aa268eef1a5df08f1e,APPROVED,Not Applicable,2026-02-12T15:28:29.540000Z,2026-02-12T15:40:08.770000Z,2026-03-05T00:09:10.740000Z,2026-02-12T15:40:09.692241Z,700.0,NO COMPLETION CODE,504.0,Non-binary (would like to give more detail),African,27,Female,Mixed,South Africa,South Africa,South Africa,Afrikaans,Yes,Full-Time
194,60,2026-02-12 16:33:20,2026-02-12 16:40:57,anonymous,,,Yes,Yes,Yes,I agree,61275ccfad65bfb85bba5789,Bachelor,Advanced,33.0,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Empathetic ,Insensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Personal,Altruistic,Open-Minded,Responsive,Sensitive,Caring,Empathetic ,Cordial,Patient,Confident and it easy to use,"Yes, I would first need to try it out and do my due diligence.",I do not think that is fair however times are changing so I have little to no control over it.,Static,"['What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?']","['Large Language Models ', 'Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", ""What's in a Name? ""]","[0, 0, 1, 2, 2]","['clicked', 'To be or not to be, that is the question;', 'In New York, they like to buy clothes. | In Texas, they like to buy cattle.', 'Elsie was born in the year of 1800. | Lauren was born in the year of 2000.', 'Jim worked as a carpanter. | Jane worked as a psychiatrist.']","['update', 'To be or not to be, that is the question.', 'pair_update', 'pair_update', 'pair_update']","['Large Language Models ', 'Cattle or Clothes?']","[0, 1]","['BERT is a language model that is AI , I do not know much about it but I am open to learning.', 'In Texas they like to buy cattle and in New York they like to buy clothes.']","['2026-02-12 15:43:30.776883', '2026-02-12 15:46:09.171203']","['2026-02-12 15:43:30.776883', '2026-02-12 15:46:09.171203']",698df2afdb3e6289d1fbf035,61275ccfad65bfb85bba5789,APPROVED,Not Applicable,2026-02-12T15:33:13.114000Z,2026-02-12T15:49:55.684000Z,2026-03-05T00:07:43.911000Z,2026-02-12T15:49:56.624102Z,1003.0,NOCODE,654.0,Woman (including Trans Female/Trans Woman),African,33,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
195,61,2026-02-12 16:26:28,2026-02-12 16:42:11,anonymous,,,Yes,Yes,Yes,I agree,5edd1c649e50c2a126f60b17,Master,Beginner knowledge,23.0,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Apathetic,Insensitive,Impersonal,Ignoring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Impersonal,Altruistic,Open-Minded,Responsive,Sensitive,Caring,Empathetic ,Cordial,Patient,it was neutral experience,yes,i would be disappointed ,Static,"['What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?']","['Large Language Models ', 'Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", 'How Can We Fix This?', 'How Can We Fix This?']","[0, 0, 1, 2, 3, 3]","['To be or not to be, that is the question;', 'clicked', 'In New York, they like to buy coke. | In Texas, they like to buy.', 'The new nurse was named carl. | The new doctor was named sophie.', 'The doctor performed CPR even though _ knew it was too late. | The nurse performed CPR even though she knew it was too late.', 'The doctor performed CPR even though she knew it was too late. | The nurse performed CPR even though she knew it was too late.']","['To be or not to be, that is the question; dd', 'update', 'pair_update', 'pair_update', 'pair_update', 'pair_update']","['Large Language Models ', ""What's in a Name? "", 'Cattle or Clothes?', 'How Can We Fix This?', 'Differences Over Time']","[0, 2, 1, 3, 4]","['bert is ai tool that helps predict what next word should be', 'the ai bot can learn the correlation between words and dates, jobs etc', 'it shows how different beginnings can end differently ', 'even ai can be somehow sexist and we have to program it in order to create better world', 'you can additionaly edit and predict broader data with ai ']","['2026-02-12 15:30:13.605367', '2026-02-12 15:37:21.62671', '2026-02-12 15:36:03.27709', '2026-02-12 15:38:55.837854', '2026-02-12 15:40:23.732092']","['2026-02-12 15:30:13.605367', '2026-02-12 15:37:21.62671', '2026-02-12 15:36:03.27709', '2026-02-12 15:38:55.837854', '2026-02-12 15:40:23.732092']",698df11be8f7d9eecce52f8d,5edd1c649e50c2a126f60b17,APPROVED,Not Applicable,2026-02-12T15:26:24.065000Z,2026-02-12T15:42:25.992000Z,2026-03-05T00:07:46.836000Z,2026-02-12T15:42:26.847719Z,962.0,EGSBWXPXJA,174.0,Woman (including Trans Female/Trans Woman),Other (please feel free to let us know your ethnicity via email),23,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
196,62,2026-02-12 16:23:02,2026-02-12 16:43:21,anonymous,,,Yes,Yes,Yes,I agree,697b6b3fa42806d200e2fd10,Master,Conceptual understanding,32.0,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Apathetic,Insensitive,Impersonal,Ignoring,Altruistic,Cordial,Responsive,Judgmental,Patient,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Impersonal,Altruistic,Judgmental,Responsive,Insensitive,Ignoring,Apathetic,Cordial,Patient,"It hasn't really swayed my current perception of LLMs, what is bothersome is the fact that the input is based on certain historical narratives and statistics which gives about as much trust in the AI as I have in its creators (which is little to none) regarding the well being of people and empathy as a whole ",I like to understand the tools I work with yes! ,"It happens all the time, I feel pretty neutral about it, I understand how saturated the job market is and if it helps the job hunting process become more streamlined and potentially less subjective I am all for it. I have actually used AI to optimize my CV for AI screening tools and I feel very good about this ",Static,"['What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?']","['Large Language Models ', 'Large Language Models ', 'Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", 'How Can We Fix This?']","[0, 0, 0, 1, 2, 3]","['clicked', 'To be or not to be, that is the question;', 'do or do not there is no ', 'In New York, they like to buy _. | In Singapore, they like to drink ', 'Jim worked as a _. | Billie worked as a ', 'The doctor performed CPR even though _ knew it was too late. | The dental hygienist set up the patient and ']","['update', 'do or do not there is no ', 'a rose by any other would name would ', 'pair_update', 'pair_update', 'pair_update']","['Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", 'How Can We Fix This?', 'Differences Over Time']","[0, 1, 2, 3, 4]","['BERT uses a sort of large scale encyclopedic knowledge to craft answers ', 'Here BERT uses large subsets of demographic data to craft a response ', 'The answers here are also based on cultural and social nuances making these associations a little risky ', 'It seems like this model attempts to surpass gender based sterotypes ', 'we can track an evolution across various professional fields albeit in a gendered way ']","['2026-02-12 15:27:46.752571', '2026-02-12 15:29:29.264537', '2026-02-12 15:31:11.851428', '2026-02-12 15:33:19.763536', '2026-02-12 15:36:39.375188']","['2026-02-12 15:27:46.752571', '2026-02-12 15:29:29.264537', '2026-02-12 15:31:11.851428', '2026-02-12 15:33:19.763536', '2026-02-12 15:36:39.375188']",698df035347e64cc1d384050,697b6b3fa42806d200e2fd10,APPROVED,Not Applicable,2026-02-12T15:22:54.995000Z,2026-02-12T15:44:31.982000Z,2026-03-05T00:00:40.823000Z,2026-02-12T15:44:32.770596Z,1297.0,X9QLB5K2JL,25.0,Woman (including Trans Female/Trans Woman),Rather not say,32,Female,Prefer not to say,United States,France,France,English,No,Unemployed (and job seeking)
197,63,2026-02-12 16:26:17,2026-02-12 16:44:04,anonymous,,,Yes,Yes,Yes,I agree,68c15183c6948874967ceb7b,Bachelor,Conceptual understanding,22.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Apathetic,Insensitive,Impersonal,Ignoring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Personal,Self-Serving,Open-Minded,Indifferent,Insensitive,Ignoring,Apathetic,Cordial,Patient,It's useful in a sense that it demonstrates some of the points with concrete and interactive examples. ,somewhat. it also depends on the repetitive interaction with it so you can know from experience and comparing it to your previous knowledge to know if it's trustworthy. ,"It would be too barbaric (where they specifically look for certain keywords and rarely see the whole picture), leaving certain candidates at a disadvantage",Static,"['What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?']","['Large Language Models ', 'Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", 'How Can We Fix This?']","[0, 0, 1, 2, 3]","['clicked', 'To be or not to be, that is the question;', 'In hong kong, they like to go to _.  | In china, they like to go to _. ', 'The new domestic helper is _.  | The new school teacher is _. ', 'The criminal destroyed the evidence even though _.  | The policeman destroyed the evidence even though _. ']","['update', 'I am the ', 'pair_update', 'pair_update', 'pair_update']","['Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", 'How Can We Fix This?', 'Differences Over Time']","[0, 1, 2, 3, 4]","['Through repetitive exposure the system learns to predict what a hidden word is ', 'The system predict the word based on clues (geographically) and make use of patterns in the population to guess the word. ', ""The system could also be influenced by stereotypes if it's prevalent and well-assimilated in the society and specific population. "", 'A counterpart can be used when training the system to avoid it adopting biases. ', ""AI models are now still biased and we've yet to develop concrete methods to completely mitigate the issue. ""]","['2026-02-12 15:30:12.264243', '2026-02-12 15:32:39.247474', '2026-02-12 15:34:44.164199', '2026-02-12 15:36:53.617892', '2026-02-12 15:38:05.323251']","['2026-02-12 15:30:12.264243', '2026-02-12 15:32:39.247474', '2026-02-12 15:34:44.164199', '2026-02-12 15:36:53.617892', '2026-02-12 15:38:05.323251']",698df10d5c38a467dd208d49,68c15183c6948874967ceb7b,APPROVED,Not Applicable,2026-02-12T15:26:13.423000Z,2026-02-12T15:44:25.589000Z,2026-03-05T00:00:33.443000Z,2026-02-12T15:44:26.498256Z,1093.0,KOQXAP4Z4B,14.0,Non-binary (would like to give more detail),East Asian,22,Prefer not to say,Asian,Hong Kong,Hong Kong,Hong Kong,Cantonese,Yes,Part-Time
198,64,2026-02-12 16:28:21,2026-02-12 16:44:12,anonymous,,,Yes,Yes,Yes,I agree,67606907592129a2cc3743df,Bachelor,Beginner knowledge,23.0,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Empathetic ,Sensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Impersonal,Altruistic,Open-Minded,Responsive,Sensitive,Caring,Empathetic ,Cordial,Patient,I felt a bit confused on how to use it,yes,I would feel annoyed as my application could get ignored by it.,Static,"['What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?', 'What Have Language Models Learned?']","['Large Language Models ', 'Large Language Models ', 'Large Language Models ', 'Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", 'How Can We Fix This?']","[0, 0, 0, 0, 1, 2, 3]","['To be or not to be, that is the question;', 'clicked', 'clicked', 'To be or not to be, that is the question; question', 'In New York, they like to buy _things. | In Texas, they like to buy _things.', 'The new nurse was named Elsie _. | The new doctor was named Lauren _.', 'The doctor performed CPR even though she_ knew it was too late. | The nurse performed CPR even though he _ knew it was too late.']","['To be or not to be, that is the question; question', 'update', 'update', 'To be or not to be, that is the question; question the', 'pair_update', 'pair_update', 'pair_update']","['Large Language Models ', 'Cattle or Clothes?', ""What's in a Name? "", 'How Can We Fix This?', 'Differences Over Time']","[0, 1, 2, 3, 4]","['I have learnt that the AI system makes predictions of what words will fill the blank space', 'Bert fills in words by probability. There are over 30.000 words in its vocabulary.', 'it makes predictions based on what its learnt about different groups of people.', 'zari assigns nurses and doctors an equal probability of being a she or he unlike bert.', 'reality-prediction mismatch could be cause by lack of training data.']","['2026-02-12 15:33:09.002096', '2026-02-12 15:35:01.881235', '2026-02-12 15:36:56.905927', '2026-02-12 15:38:53.73026', '2026-02-12 15:40:45.528444']","['2026-02-12 15:33:09.002096', '2026-02-12 15:35:01.881235', '2026-02-12 15:36:56.905927', '2026-02-12 15:38:53.73026', '2026-02-12 15:40:45.528444']",698df1890117d1f5edfb376f,67606907592129a2cc3743df,APPROVED,Not Applicable,2026-02-12T15:28:16.365000Z,2026-02-12T15:44:43.591000Z,2026-03-05T00:02:08.562000Z,2026-02-12T15:44:44.475521Z,988.0,E2SNLCWP9D,341.0,Woman (including Trans Female/Trans Woman),South Asian,23,Female,Asian,United Kingdom,United Kingdom,United Kingdom,Urdu,No,Unemployed (and job seeking)
